DATE,OPEN,HIGH,LOW,CLOSE,VOL
09/24 09:05,20450,20500,20430,20440,450894
09/23 15:01,20750,20750,20750,20750,114445
09/23 15:00,20760,20770,20730,20740,157842
09/23 14:55,20740,20770,20730,20770,140422
09/23 14:50,20740,20760,20720,20730,77475
09/23 14:45,20760,20760,20720,20740,94773
09/23 14:40,20660,20760,20660,20760,158831
09/23 14:35,20640,20670,20630,20670,118476
09/23 14:30,20620,20630,20620,20630,79635
09/23 14:25,20600,20630,20600,20620,98040
09/23 14:20,20600,20600,20590,20600,14771
09/23 14:15,20600,20610,20590,20600,22988
09/23 14:10,20590,20620,20580,20600,148292
09/23 14:05,20570,20600,20570,20590,35323
09/23 14:00,20570,20580,20560,20570,13014
09/23 13:55,20580,20580,20560,20570,102677
09/23 13:50,20590,20600,20580,20580,14421
09/23 13:45,20610,20610,20590,20590,84391
09/23 13:40,20590,20610,20590,20600,25351
09/23 13:35,20600,20600,20580,20590,86878
09/23 13:30,20600,20600,20590,20600,17389
09/23 13:25,20580,20600,20580,20600,67455
09/23 13:20,20600,20620,20580,20590,170535
09/23 13:15,20610,20610,20600,20610,14320
09/23 13:10,20610,20620,20610,20610,10137
09/23 13:05,20610,20620,20600,20620,103523
09/23 13:00,20600,20620,20600,20610,25394
09/23 12:55,20610,20620,20590,20600,34415
09/23 12:50,20600,20620,20580,20610,55911
09/23 12:45,20590,20610,20580,20600,24118
09/23 12:40,20600,20620,20580,20590,41745
09/23 12:35,20550,20620,20550,20600,209488
09/23 11:35,20520,20520,20520,20520,2512
09/23 11:30,20500,20520,20490,20510,10732
09/23 11:25,20530,20530,20490,20500,49148
09/23 11:20,20510,20530,20510,20520,36940
09/23 11:15,20510,20520,20490,20510,82384
09/23 11:10,20510,20510,20490,20500,19754
09/23 11:05,20510,20530,20500,20510,56433
09/23 11:00,20500,20520,20490,20510,84666
09/23 10:55,20480,20500,20470,20490,37150
09/23 10:50,20450,20480,20440,20480,95296
09/23 10:45,20470,20480,20460,20460,38244
09/23 10:40,20450,20480,20440,20470,98587
09/23 10:35,20400,20440,20390,20440,48814
09/23 10:30,20430,20430,20390,20410,189888
09/23 10:25,20460,20460,20420,20430,86904
09/23 10:20,20450,20470,20440,20460,89576
09/23 10:15,20450,20460,20430,20450,87471
09/23 10:10,20440,20460,20420,20450,87762
09/23 10:05,20450,20470,20430,20450,161999
09/23 10:00,20500,20520,20450,20450,189016
09/23 09:55,20530,20530,20480,20500,131738
09/23 09:50,20570,20590,20510,20530,252763
09/23 09:45,20530,20570,20530,20570,50448
